Unnamed: 0,acousticness,analysis_url,artist_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,streams,tempo,time_signature,track_href,track_name,type,uri,valence,year,popularity,Daily Streams
1597,0.328,https://api.spotify.com/v1/audio-analysis/5IhzJOXNE7ki0IIJbZbnGq,Harry Styles,0.603,189787.0,0.621,5IhzJOXNE7ki0IIJbZbnGq,3.49e-05,2.0,0.119,-7.14,1.0,0.0267,222065717,94.022,4.0,https://api.spotify.com/v1/tracks/5IhzJOXNE7ki0IIJbZbnGq,Canyon Moon,audio_features,spotify:track:5IhzJOXNE7ki0IIJbZbnGq,0.7,2019,62.0,"40,327"
1598,0.184,https://api.spotify.com/v1/audio-analysis/5lw8Mgb4LyhriPIC86gV6e,Cordae,0.611,175828.0,0.714,5lw8Mgb4LyhriPIC86gV6e,0.0,9.0,0.145,-4.696,0.0,0.856,222061028,196.043,4.0,https://api.spotify.com/v1/tracks/5lw8Mgb4LyhriPIC86gV6e,RNP,audio_features,spotify:track:5lw8Mgb4LyhriPIC86gV6e,0.628,2019,68.0,"122,770"
1599,0.705,https://api.spotify.com/v1/audio-analysis/1ckLp8lCl8LipXI0ypX72m,Post Malone,0.746,200680.0,0.559,1ckLp8lCl8LipXI0ypX72m,0.0,5.0,0.148,-4.008,1.0,0.0316,221955638,117.938,4.0,https://api.spotify.com/v1/tracks/1ckLp8lCl8LipXI0ypX72m,I'm Gonna Be,audio_features,spotify:track:1ckLp8lCl8LipXI0ypX72m,0.368,2019,61.0,"38,580"
1600,0.525,https://api.spotify.com/v1/audio-analysis/39LJCSHy7nB1akjmhMQ7Y7,Josh A,0.789,188042.0,0.509,39LJCSHy7nB1akjmhMQ7Y7,7.55e-06,6.0,0.0936,-8.629,0.0,0.277,221628508,75.009,4.0,https://api.spotify.com/v1/tracks/39LJCSHy7nB1akjmhMQ7Y7,Pain,audio_features,spotify:track:39LJCSHy7nB1akjmhMQ7Y7,0.61,2019,62.0,"55,838"
1601,0.0872,https://api.spotify.com/v1/audio-analysis/1q1sjzJpUYEkTbA9Uz0qrU,Camilo,0.766,200852.0,0.764,1q1sjzJpUYEkTbA9Uz0qrU,0.0,6.0,0.163,-2.996,0.0,0.0776,220989904,92.003,4.0,https://api.spotify.com/v1/tracks/1q1sjzJpUYEkTbA9Uz0qrU,No Te Vayas,audio_features,spotify:track:1q1sjzJpUYEkTbA9Uz0qrU,0.818,2019,57.0,"24,733"
1602,0.293,https://api.spotify.com/v1/audio-analysis/5lCxlSBFyP5g4EhVypAoOu,PNL,0.777,247161.0,0.698,5lCxlSBFyP5g4EhVypAoOu,2.32e-05,6.0,0.0908,-7.706,0.0,0.0704,220833820,119.963,4.0,https://api.spotify.com/v1/tracks/5lCxlSBFyP5g4EhVypAoOu,Au DD,audio_features,spotify:track:5lCxlSBFyP5g4EhVypAoOu,0.119,2019,60.0,"58,077"
1603,0.102,https://api.spotify.com/v1/audio-analysis/5099x34vBakWpGkHourFxP,Maluma,0.635,212711.0,0.661,5099x34vBakWpGkHourFxP,0.0,11.0,0.336,-6.425,0.0,0.364,220057504,126.15,5.0,https://api.spotify.com/v1/tracks/5099x34vBakWpGkHourFxP,Qué Pena,audio_features,spotify:track:5099x34vBakWpGkHourFxP,0.858,2019,55.0,"16,583"
1604,0.387,https://api.spotify.com/v1/audio-analysis/7fM24rKaYCTGf85Lj8U2pk,Rels B,0.754,180000.0,0.481,7fM24rKaYCTGf85Lj8U2pk,0.0,0.0,0.35,-7.91,1.0,0.444,219544208,83.907,4.0,https://api.spotify.com/v1/tracks/7fM24rKaYCTGf85Lj8U2pk,SIN MIRAR LAS SEÑALES,audio_features,spotify:track:7fM24rKaYCTGf85Lj8U2pk,0.289,2019,68.0,"96,383"
1605,0.0569,https://api.spotify.com/v1/audio-analysis/4gqMVEJSaL5nNeKj5WmVoT,Pitbull,0.834,198453.0,0.808,4gqMVEJSaL5nNeKj5WmVoT,0.00052,11.0,0.222,-2.597,1.0,0.0542,219450313,104.026,4.0,https://api.spotify.com/v1/tracks/4gqMVEJSaL5nNeKj5WmVoT,No Lo Trates,audio_features,spotify:track:4gqMVEJSaL5nNeKj5WmVoT,0.829,2019,56.0,"28,784"
1606,0.0743,https://api.spotify.com/v1/audio-analysis/7kswSnEiwuwuOQngMvpflV,Felix Jaehn,0.844,159963.0,0.818,7kswSnEiwuwuOQngMvpflV,1.28e-05,2.0,0.112,-3.727,1.0,0.2,218677553,128.094,4.0,https://api.spotify.com/v1/tracks/7kswSnEiwuwuOQngMvpflV,Close Your Eyes,audio_features,spotify:track:7kswSnEiwuwuOQngMvpflV,0.536,2019,52.0,"22,506"
