Artist and Title,Daily Streams,Streams,acousticness,analysis_url,artist_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,song_name,speechiness,tempo,time_signature,track_href,type,uri,valence
"['Bronco', 'Oro']","152,256","125,738,799",0.285,https://api.spotify.com/v1/audio-analysis/50QgKV8vabHHc7au535IqK,bronco,0.67,190653.0,0.56,50QgKV8vabHHc7au535IqK,0.0,7.0,0.32,-8.098,1.0,58.0,oro,0.0277,112.475,4.0,https://api.spotify.com/v1/tracks/50QgKV8vabHHc7au535IqK,audio_features,spotify:track:50QgKV8vabHHc7au535IqK,0.605
"['Samuray', 'Él Soy Yo']","114,468","125,710,931",0.25,https://api.spotify.com/v1/audio-analysis/3Mca7rs2qXlSlqU4XlSZRe,samuray,0.738,197093.0,0.681,3Mca7rs2qXlSlqU4XlSZRe,1.48e-06,2.0,0.351,-7.424,1.0,66.0,él soy yo,0.0431,155.798,4.0,https://api.spotify.com/v1/tracks/3Mca7rs2qXlSlqU4XlSZRe,audio_features,spotify:track:3Mca7rs2qXlSlqU4XlSZRe,0.796
"['Matt Hansen', 'something to remember']","312,339","125,638,511",0.384,https://api.spotify.com/v1/audio-analysis/6eI8B3QW20P68MCYMb4Etd,matt hansen,0.665,162224.0,0.719,6eI8B3QW20P68MCYMb4Etd,0.0,1.0,0.118,-6.897,1.0,75.0,something to remember,0.0328,112.473,4.0,https://api.spotify.com/v1/tracks/6eI8B3QW20P68MCYMb4Etd,audio_features,spotify:track:6eI8B3QW20P68MCYMb4Etd,0.491
"['Travis Scott', 'MODERN JAM']","88,870","125,553,311",0.000564,https://api.spotify.com/v1/audio-analysis/3KCNiDi9Pza6ZD8FggNoaw,travis scott,0.517,255413.0,0.539,3KCNiDi9Pza6ZD8FggNoaw,1.4e-05,9.0,0.537,-6.474,0.0,68.0,modern jam,0.038,108.984,4.0,https://api.spotify.com/v1/tracks/3KCNiDi9Pza6ZD8FggNoaw,audio_features,spotify:track:3KCNiDi9Pza6ZD8FggNoaw,0.531
"['Henrique & Juliano', 'Te Esqueci Sem Querer']","82,245","125,323,001",0.194,https://api.spotify.com/v1/audio-analysis/4vdFF0P7oTZoeKvnfIsbh3,henrique & juliano,0.635,151093.0,0.789,4vdFF0P7oTZoeKvnfIsbh3,0.0,6.0,0.966,-5.037,1.0,65.0,te esqueci sem querer,0.0365,106.12,4.0,https://api.spotify.com/v1/tracks/4vdFF0P7oTZoeKvnfIsbh3,audio_features,spotify:track:4vdFF0P7oTZoeKvnfIsbh3,0.666
"['akiaura', 'Sleepwalker']","161,228","124,839,021",0.00341,https://api.spotify.com/v1/audio-analysis/1IPHnu3hVkawJMzkP97tcm,akiaura,0.595,212000.0,0.8,1IPHnu3hVkawJMzkP97tcm,0.0397,3.0,0.608,-5.262,0.0,71.0,sleepwalker,0.0285,119.988,4.0,https://api.spotify.com/v1/tracks/1IPHnu3hVkawJMzkP97tcm,audio_features,spotify:track:1IPHnu3hVkawJMzkP97tcm,0.151
"['Intocable', 'Eres Mi Droga']","97,221","124,729,147",0.228,https://api.spotify.com/v1/audio-analysis/3t4BZRyfrZGgICZGyNewyi,intocable,0.636,207227.0,0.704,3t4BZRyfrZGgICZGyNewyi,1.17e-06,7.0,0.068,-9.88,0.0,65.0,eres mi droga,0.0849,188.184,4.0,https://api.spotify.com/v1/tracks/3t4BZRyfrZGgICZGyNewyi,audio_features,spotify:track:3t4BZRyfrZGgICZGyNewyi,0.964
"['Shania Twain', 'From This Moment On']","58,445","124,666,154",0.414,https://api.spotify.com/v1/audio-analysis/6rsDkvbgiAkMWWudkR57IP,shania twain,0.449,237940.0,0.538,6rsDkvbgiAkMWWudkR57IP,0.0,2.0,0.139,-4.453,1.0,62.0,from this moment on,0.027,135.765,4.0,https://api.spotify.com/v1/tracks/6rsDkvbgiAkMWWudkR57IP,audio_features,spotify:track:6rsDkvbgiAkMWWudkR57IP,0.229
"['Zach Bryan', 'East Side of Sorrow']","129,249","124,556,161",0.236,https://api.spotify.com/v1/audio-analysis/00syWkRGIVQvYsg2OwfBUw,zach bryan,0.408,209320.0,0.607,00syWkRGIVQvYsg2OwfBUw,8.02e-05,10.0,0.0972,-7.463,1.0,71.0,east side of sorrow,0.0391,144.136,4.0,https://api.spotify.com/v1/tracks/00syWkRGIVQvYsg2OwfBUw,audio_features,spotify:track:00syWkRGIVQvYsg2OwfBUw,0.169
"['Denny', 'Chale Jaana Phir (Humko Tere Bina)']","87,009","124,342,455",0.373,https://api.spotify.com/v1/audio-analysis/0ELwxG13ijfCPEWi2pAKrO,denny,0.592,208933.0,0.461,0ELwxG13ijfCPEWi2pAKrO,2.05e-05,5.0,0.298,-7.842,0.0,58.0,chale jaana phir (humko tere bina),0.0265,93.985,4.0,https://api.spotify.com/v1/tracks/0ELwxG13ijfCPEWi2pAKrO,audio_features,spotify:track:0ELwxG13ijfCPEWi2pAKrO,0.193
"['Taylor Swift', ""Suburban Legends (Taylor's Version) (From The Vault)""]","92,604","123,886,272",0.212,https://api.spotify.com/v1/audio-analysis/6T0sEnqjmHISIKwFETeeiP,taylor swift,0.695,171819.0,0.607,6T0sEnqjmHISIKwFETeeiP,0.0,0.0,0.102,-8.84,1.0,65.0,suburban legends (taylor's version) (from the vault),0.0357,118.043,4.0,https://api.spotify.com/v1/tracks/6T0sEnqjmHISIKwFETeeiP,audio_features,spotify:track:6T0sEnqjmHISIKwFETeeiP,0.394
"['Brent Faiyaz', 'Forever Yours']","353,581","123,791,635",0.00426,https://api.spotify.com/v1/audio-analysis/2JqkpMe2eJToJNHEqkJeCu,brent faiyaz,0.646,96369.0,0.503,2JqkpMe2eJToJNHEqkJeCu,0.000279,2.0,0.652,-7.472,1.0,77.0,forever yours,0.0312,137.007,4.0,https://api.spotify.com/v1/tracks/2JqkpMe2eJToJNHEqkJeCu,audio_features,spotify:track:2JqkpMe2eJToJNHEqkJeCu,0.789
"['Hilltop Hoods', 'Cosby Sweater']","50,583","123,330,933",0.629,https://api.spotify.com/v1/audio-analysis/6myDPrp86x4Lhyp5aqU0EV,hilltop hoods,0.794,217720.0,0.81,6myDPrp86x4Lhyp5aqU0EV,1.73e-06,3.0,0.0888,-7.963,1.0,62.0,cosby sweater,0.0422,125.252,4.0,https://api.spotify.com/v1/tracks/6myDPrp86x4Lhyp5aqU0EV,audio_features,spotify:track:6myDPrp86x4Lhyp5aqU0EV,0.802
"['Feid', 'CUAL ES ESA']","174,916","123,226,858",0.0179,https://api.spotify.com/v1/audio-analysis/05sO6FK8E9l2cfwnEUTjHq,feid,0.916,172507.0,0.481,05sO6FK8E9l2cfwnEUTjHq,0.0,6.0,0.121,-4.483,0.0,72.0,cual es esa,0.194,95.998,4.0,https://api.spotify.com/v1/tracks/05sO6FK8E9l2cfwnEUTjHq,audio_features,spotify:track:05sO6FK8E9l2cfwnEUTjHq,0.714
