Unnamed: 0,acousticness,analysis_url,artist_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,streams,tempo,time_signature,track_href,track_name,type,uri,valence,year,Daily Streams
3068,0.282,https://api.spotify.com/v1/audio-analysis/4OwhwvKESFtuu06dTgct7i,Marc Seguí,0.75,321556.0,0.522,4OwhwvKESFtuu06dTgct7i,0.0,9.0,0.0743,-7.018,1.0,78.0,0.0293,740195436,110.427,4.0,https://api.spotify.com/v1/tracks/4OwhwvKESFtuu06dTgct7i,Tiroteo,audio_features,spotify:track:4OwhwvKESFtuu06dTgct7i,0.601,2021,"561,261"
3069,0.227,https://api.spotify.com/v1/audio-analysis/4S4QJfBGGrC8jRIjJHf1Ka,PinkPantheress,0.829,98544.0,0.617,4S4QJfBGGrC8jRIjJHf1Ka,0.00306,1.0,0.0618,-8.497,1.0,82.0,0.14,738742464,125.605,4.0,https://api.spotify.com/v1/tracks/4S4QJfBGGrC8jRIjJHf1Ka,Pain,audio_features,spotify:track:4S4QJfBGGrC8jRIjJHf1Ka,0.81,2021,"1,212,930"
3070,0.122,https://api.spotify.com/v1/audio-analysis/5TMLavqGRKNxgzMBrVpC9R,zzoilo,0.748,179940.0,0.761,5TMLavqGRKNxgzMBrVpC9R,6.56e-06,2.0,0.0984,-6.621,1.0,74.0,0.102,736959257,116.041,4.0,https://api.spotify.com/v1/tracks/5TMLavqGRKNxgzMBrVpC9R,Mon Amour,audio_features,spotify:track:5TMLavqGRKNxgzMBrVpC9R,0.362,2021,"268,174"
3071,0.749,https://api.spotify.com/v1/audio-analysis/3M214U0mwSm041GsQR3nrO,BoyWithUke,0.609,168067.0,0.619,3M214U0mwSm041GsQR3nrO,0.0,11.0,0.264,-5.677,1.0,72.0,0.311,732919216,179.71,4.0,https://api.spotify.com/v1/tracks/3M214U0mwSm041GsQR3nrO,Toxic,audio_features,spotify:track:3M214U0mwSm041GsQR3nrO,0.689,2021,"263,195"
3072,0.198,https://api.spotify.com/v1/audio-analysis/0bI7K9Becu2dtXK1Q3cZNB,Tiësto,0.77,140500.0,0.787,0bI7K9Becu2dtXK1Q3cZNB,0.0,11.0,0.262,-3.748,0.0,71.0,0.0583,728787634,119.986,4.0,https://api.spotify.com/v1/tracks/0bI7K9Becu2dtXK1Q3cZNB,Don't Be Shy,audio_features,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,0.513,2021,"192,534"
3073,0.584,https://api.spotify.com/v1/audio-analysis/1FlL8ycld6uVDDyhV7P5FA,Rauw Alejandro,0.765,164706.0,0.625,1FlL8ycld6uVDDyhV7P5FA,0.00111,9.0,0.112,-3.599,0.0,78.0,0.0548,721562638,102.101,4.0,https://api.spotify.com/v1/tracks/1FlL8ycld6uVDDyhV7P5FA,Cúrame,audio_features,spotify:track:1FlL8ycld6uVDDyhV7P5FA,0.262,2021,"600,465"
3074,0.185,https://api.spotify.com/v1/audio-analysis/2WnAKZefdRHxtBEkRjFOHC,Justin Bieber,0.685,190779.0,0.521,2WnAKZefdRHxtBEkRjFOHC,3.59e-06,2.0,0.111,-8.285,1.0,67.0,0.0345,716665549,115.885,4.0,https://api.spotify.com/v1/tracks/2WnAKZefdRHxtBEkRjFOHC,Anyone,audio_features,spotify:track:2WnAKZefdRHxtBEkRjFOHC,0.578,2021,"167,713"
3075,0.00544,,BTS,0.702,187585.0,0.741,3XYRV7ZSHqIRDG87DKTtry,0.0,9.0,0.337,-5.33,1.0,71.0,0.0427,704360793,124.925,,,Permission to Dance,track,spotify:track:3XYRV7ZSHqIRDG87DKTtry,0.646,2021,"162,736"
3076,0.656,,Gera MX,0.727,197333.0,0.546,2MnLkFqY9Rpg9s3Zv6ZJdK,0.0,0.0,0.122,-4.572,1.0,74.0,0.0437,695197496,106.891,,,Botella Tras Botella,track,spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK,0.69,2021,"251,475"
3077,0.426,,INTERWORLD,0.593,142839.0,0.641,2ksyzVfU0WJoBpu8otr4pz,0.901,7.0,0.122,-12.727,0.0,77.0,0.0992,694883793,175.014,,,METAMORPHOSIS,track,spotify:track:2ksyzVfU0WJoBpu8otr4pz,0.147,2021,"349,217"
3078,0.0311,,Olivia Rodrigo,0.672,143746.0,0.526,6SRsiMl7w1USE4mFqrOhHC,1.37e-06,4.0,0.28,-6.446,1.0,75.0,0.0599,692622712,123.999,,,brutal,track,spotify:track:6SRsiMl7w1USE4mFqrOhHC,0.28,2021,"311,349"
3079,0.062,,Sebastian Yatra,0.746,189333.0,0.844,6ylDpki1VpIsc525KC1ojF,0.0,11.0,0.149,-3.499,0.0,72.0,0.0359,690362033,123.014,,,Tacones Rojos,track,spotify:track:6ylDpki1VpIsc525KC1ojF,0.934,2021,"294,928"
3080,0.0673,,The Rare Occasions,0.309,195120.0,0.883,0sTlGEld0h8kIPZaKDYUf4,0.00111,9.0,0.0849,-3.825,1.0,79.0,0.0808,686441534,159.488,,,Notion,track,spotify:track:0sTlGEld0h8kIPZaKDYUf4,0.312,2021,"501,271"
3081,0.0012,,Cardi B,0.868,156944.0,0.795,1M4OcYkxAtu3ErzSgDEfoi,0.0193,11.0,0.0461,-6.044,1.0,67.0,0.269,674693834,166.0,,,Up,track,spotify:track:1M4OcYkxAtu3ErzSgDEfoi,0.819,2021,"148,608"
3082,0.152,,Anitta,0.812,193805.0,0.736,3FkeNbs9Zeiqkr3WkbOiGp,0.00254,4.0,0.0914,-5.421,0.0,67.0,0.0833,670297997,91.993,,,Envolver,track,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,0.396,2021,"181,554"
3083,0.0361,,Post Malone,0.687,193506.0,0.781,00Blm7zeNqgYLPtW6zg8cj,0.0,1.0,0.0755,-4.806,1.0,68.0,0.053,665257053,97.014,,,One Right Now,track,spotify:track:00Blm7zeNqgYLPtW6zg8cj,0.688,2021,"199,802"
3084,0.315,,Doja Cat,0.912,138293.0,0.655,0W6I02J9xcqK8MtSeosEXb,3.39e-05,8.0,0.0894,-6.029,0.0,73.0,0.162,638166493,91.942,,,Get Into It (Yuh),track,spotify:track:0W6I02J9xcqK8MtSeosEXb,0.793,2021,"322,017"
3085,0.138,,Maluma,0.762,201180.0,0.77,387Dc03iCK2iZ6PBHU1Vb5,0.0,5.0,0.15,-2.758,1.0,67.0,0.223,633083253,177.998,,,Sobrio,track,spotify:track:387Dc03iCK2iZ6PBHU1Vb5,0.631,2021,"152,071"
3086,0.365,,CKay,0.727,145800.0,0.739,2Xr1dTzJee307rmrkt8c0g,0.00137,8.0,0.161,-3.805,1.0,74.0,0.0411,620267254,93.005,,,love nwantiti,track,spotify:track:2Xr1dTzJee307rmrkt8c0g,0.533,2021,"144,716"
3087,0.321,,OneRepublic,0.682,168259.0,0.72,6KL88T4Ma4ABXqzgUoEwkd,0.0,11.0,0.205,-8.176,0.0,73.0,0.0382,618989719,116.988,,,Run,track,spotify:track:6KL88T4Ma4ABXqzgUoEwkd,0.649,2021,"309,108"
3088,0.0342,,Gabry Ponte,0.67,160000.0,0.896,2USlegnFJLrVLpoVfPimKB,3.21e-05,1.0,0.344,-4.673,1.0,75.0,0.058,613526358,101.216,,,Thunder,track,spotify:track:2USlegnFJLrVLpoVfPimKB,0.403,2021,"289,846"
3089,0.00302,,Saweetie,0.84,155883.0,0.766,20BOju91NaEFK5Py4VJ2pp,3.61e-06,4.0,0.0684,-4.12,1.0,70.0,0.136,609405458,94.018,,,Best Friend,track,spotify:track:20BOju91NaEFK5Py4VJ2pp,0.402,2021,"245,980"
3090,0.00116,,Matt Sassari,0.874,102860.0,0.869,5ZduaRci3iNUiDfJbBfAaf,0.00238,1.0,0.164,-5.996,0.0,81.0,0.0315,607378786,126.027,,,Give It To Me,track,spotify:track:5ZduaRci3iNUiDfJbBfAaf,0.726,2021,"559,353"
3091,0.256,,KAROL G,0.635,209160.0,0.706,2FSGUA0gFgGeQdprjtGM2M,0.0,5.0,0.108,-3.224,0.0,70.0,0.125,604941221,88.863,,,EL MAKINON,track,spotify:track:2FSGUA0gFgGeQdprjtGM2M,0.443,2021,"121,350"
3092,0.407,,Los Legendarios,0.849,261665.0,0.701,7Bk0uXKk1uPT0XuQbpFzvs,0.0,6.0,0.112,-4.407,0.0,65.0,0.06,603535942,98.005,,,Fiel,track,spotify:track:7Bk0uXKk1uPT0XuQbpFzvs,0.505,2021,"148,542"
3093,0.186,,Oliver Tree,0.7,161803.0,0.49,0eu4C55hL6x29mmeAjytzC,0.0,0.0,0.117,-5.187,1.0,70.0,0.076,597905679,79.982,,,Life Goes On,track,spotify:track:0eu4C55hL6x29mmeAjytzC,0.569,2021,"148,173"
3094,0.091,,Adele,0.534,225148.0,0.725,3Kkjo3cT83cw09VJyrLNwX,0.0,1.0,0.0264,-3.906,1.0,72.0,0.046,596461252,88.098,,,Oh My God,track,spotify:track:3Kkjo3cT83cw09VJyrLNwX,0.55,2021,"194,420"
3095,0.114,,Nio Garcia,0.743,261334.0,0.655,05bfbizlM5AX6Mf1RRyMho,0.0,6.0,0.0764,-5.015,0.0,67.0,0.159,589527223,172.031,,,AM Remix,track,spotify:track:05bfbizlM5AX6Mf1RRyMho,0.785,2021,"78,540"
3096,0.000619,,Drake,0.803,257604.0,0.597,0k1WUmIRnG3xU6fvvDVfRG,4.5e-06,11.0,0.323,-6.035,0.0,70.0,0.141,583179496,136.008,,,Way 2 Sexy,track,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,0.331,2021,"155,400"
3097,0.0145,,Troye Sivan,0.559,220779.0,0.559,2m6Ko3CY1qXNNja8AlugNc,0.0,11.0,0.138,-6.425,1.0,71.0,0.0358,580100162,72.498,,,Angel Baby,track,spotify:track:2m6Ko3CY1qXNNja8AlugNc,0.338,2021,"276,851"
3098,0.311,,Peso Pluma,0.69,238888.0,0.597,6YWME4xCa5Lm6X1exVMQIC,4.18e-05,9.0,0.0727,-7.494,0.0,73.0,0.0395,578636022,185.084,,,Por Las Noches,track,spotify:track:6YWME4xCa5Lm6X1exVMQIC,0.453,2021,"207,376"
3099,0.0151,,Trippie Redd,0.581,236883.0,0.877,5n4FTCMefvyKUjeWumdaWv,0.0,8.0,0.826,-4.938,1.0,72.0,0.114,568562189,77.006,,,Miss The Rage,track,spotify:track:5n4FTCMefvyKUjeWumdaWv,0.353,2021,"176,832"
3100,0.0332,,Eyedress,0.648,153312.0,0.781,6RiiSy9GzSwiyDEJDiMuKe,0.013,9.0,0.305,-8.736,0.0,81.0,0.0271,567534263,133.417,,,Something About You,track,spotify:track:6RiiSy9GzSwiyDEJDiMuKe,0.822,2021,"918,769"
3101,0.807,,Madison Beer,0.386,203384.0,0.426,1Dq5By1yUrOB0zSxhCc5v8,0.0,3.0,0.14,-6.642,1.0,71.0,0.0363,562368717,180.104,,,Reckless,track,spotify:track:1Dq5By1yUrOB0zSxhCc5v8,0.261,2021,"391,134"
3102,0.709,,Rauw Alejandro,0.768,205714.0,0.56,78QcVmzxS0wIwuC2rpAauI,0.000791,3.0,0.115,-3.497,1.0,68.0,0.0859,560637695,112.084,,,2/Catorce,track,spotify:track:78QcVmzxS0wIwuC2rpAauI,0.372,2021,"147,008"
3103,0.0282,,LISA,0.806,200689.0,0.653,7uQZVznj0uQOGC9KhV2Mg6,0.000784,8.0,0.107,-6.283,1.0,67.0,0.0902,549386632,150.058,,,LALISA,track,spotify:track:7uQZVznj0uQOGC9KhV2Mg6,0.85,2021,"195,411"
3104,0.941,,Olivia Rodrigo,0.473,163586.0,0.203,4wcBRRpIfesgcyUtis7PEg,0.0,2.0,0.126,-12.627,1.0,76.0,0.102,545606516,168.884,,,"1 step forward, 3 steps back",track,spotify:track:4wcBRRpIfesgcyUtis7PEg,0.419,2021,"359,903"
3105,0.018,,Joel Corry,0.787,162603.0,0.833,6Dy1jexKYriXAVG6evyUTJ,0.00747,8.0,0.0374,-4.403,1.0,73.0,0.0478,543030714,123.97,,,OUT OUT,track,spotify:track:6Dy1jexKYriXAVG6evyUTJ,0.796,2021,"215,187"
3106,0.441,,Ingratax,0.57,151428.0,0.455,4bF2y8rR7GUjrd5LNEvej3,0.000746,1.0,0.0654,-5.748,0.0,60.0,0.0996,542633885,167.933,,,París,track,spotify:track:4bF2y8rR7GUjrd5LNEvej3,0.399,2021,"61,382"
3107,0.639,,Jordan Davis,0.586,167480.0,0.559,69AIpwGNLxr4qS1X5ynx60,0.0,4.0,0.0872,-6.725,1.0,78.0,0.05,538303917,177.945,,,Buy Dirt,track,spotify:track:69AIpwGNLxr4qS1X5ynx60,0.437,2021,"354,385"
3108,0.0319,,Dua Lipa,0.722,165506.0,0.588,1diS6nkxMQc3wwC4G1j0bh,0.0,6.0,0.183,-5.932,1.0,66.0,0.0544,533686336,134.01,,,We're Good,track,spotify:track:1diS6nkxMQc3wwC4G1j0bh,0.59,2021,"105,134"
3109,0.166,,Rvssian,0.734,209883.0,0.846,2BEcap3xJtmiPaHKyfQi4e,1.74e-06,9.0,0.235,-3.425,0.0,70.0,0.0489,530456669,98.026,,,Nostálgico,track,spotify:track:2BEcap3xJtmiPaHKyfQi4e,0.604,2021,"162,569"
3110,0.103,,Cochise,0.672,180379.0,0.717,7nc7mlSdWYeFom84zZ8Wr8,0.0,5.0,0.398,-7.476,1.0,71.0,0.226,530188345,157.905,,,Tell Em,track,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,0.473,2021,"183,067"
3111,0.0748,,DVRST,0.784,132346.0,0.572,3CLSHJv5aUROAN2vfOyCOh,0.843,0.0,0.139,-9.853,1.0,72.0,0.0573,528863000,96.181,,,Close Eyes,track,spotify:track:3CLSHJv5aUROAN2vfOyCOh,0.209,2021,"165,975"
3111,0.0748,,DVRST,0.784,132346.0,0.572,3CLSHJv5aUROAN2vfOyCOh,0.843,0.0,0.139,-9.853,1.0,72.0,0.0573,528863000,96.181,,,Close Eyes,track,spotify:track:3CLSHJv5aUROAN2vfOyCOh,0.209,2021,"46,774"
3112,0.617,,JVKE,0.422,120308.0,0.44,2PWTZV5znjLtZC5T1EVJvL,0.0,11.0,0.0837,-5.53,1.0,75.0,0.0544,526402304,128.934,,,this is what falling in love feels like,track,spotify:track:2PWTZV5znjLtZC5T1EVJvL,0.332,2021,"300,675"
3113,0.348,,Mora,0.818,193636.0,0.673,5jzEwSyyymBlf1fa1o39T2,0.0,4.0,0.172,-7.542,0.0,74.0,0.148,520800650,87.961,,,512,track,spotify:track:5jzEwSyyymBlf1fa1o39T2,0.695,2021,"234,632"
3114,0.0492,,Camila Cabello,0.666,164842.0,0.796,1058fW9H3fZA6QjYCdOBad,0.0,10.0,0.0442,-6.967,0.0,64.0,0.103,517609231,110.108,,,Don't Go Yet,track,spotify:track:1058fW9H3fZA6QjYCdOBad,0.61,2021,"100,497"
3115,0.767,,Billie Eilish,0.332,298899.0,0.225,4RVwu0g32PAqgUiJoXsdF8,0.00349,0.0,0.128,-8.697,1.0,82.0,0.0348,516523591,81.055,,,Happier Than Ever,track,spotify:track:4RVwu0g32PAqgUiJoXsdF8,0.297,2021,"816,955"
3115,0.767,,Billie Eilish,0.332,298899.0,0.225,4RVwu0g32PAqgUiJoXsdF8,0.00349,0.0,0.128,-8.697,1.0,82.0,0.0348,516523591,81.055,,,Happier Than Ever,track,spotify:track:4RVwu0g32PAqgUiJoXsdF8,0.297,2021,"128,327"
3116,0.00364,https://api.spotify.com/v1/audio-analysis/0b18g3G5spr4ZCkz7Y6Q0Q,Majestic,0.758,186210.0,0.913,0b18g3G5spr4ZCkz7Y6Q0Q,6.92e-05,6.0,0.193,-2.926,0.0,78.0,0.113,512506250,128.04,4.0,https://api.spotify.com/v1/tracks/0b18g3G5spr4ZCkz7Y6Q0Q,Rasputin,audio_features,spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,0.658,2021,"271,564"
